返報をする	んで	偸んで
家族的生活をする	て	くして
話をする	で	我儘で
話をする	に	時に
失笑するのを禁じる	を て	有様を 見て
問答をする	て	思って
対話を聞く	で	椽側で
注意を惹く	し	著るしく
談話を聞く	が	牡蠣的主人が
我儘をする	が	他人が
返事をする	よ	利かないのだよ」と
慰安を求める	に	遺書に
議論をする	と	ほかならないと
挨拶をする	と	名誉であると
話をする	て	訪問して
形容をなさる	の の	ソップの 蛙の
通信を読む	は	主人は
心中物をやる	は	「せんだっては
御馳走を致す	に	東風子に
研究を尽す	と	衛生とを
挨拶をする	の	訳の
講釈をする	の	自分の
講釈をする	て	癖でしてね」
経験というのを聞く	の	迷亭先生の
辛苦をする	は	人達は
真似をする	で	席で
談判をする	と	いでしょうと
手続きを踏む	も	君代さんも
見物をする	の	手数の
苦労をする	たり	聞かなかったり、
世話をする	たり	させたり、
話を聞く	が	あったが、
御回向を受ける	から	月桂寺さんから
発見をする	は	主人は
苦労、を生れる	も	事も
接待掛りを命ずる	も	計らずも
弁護をする	を	調子を
挨拶をする	から	ものだから
返事をする	の	気の
返事をする	は	迷亭は
研究をやる	の	地球の
要求をする	と	願います」と
返事をする	の	気の
返事をする	の	差し合の
訪問を受ける	も	図らずも
大決心を起す	と	出掛けようと
建築を眺める	て	這入って
意味を示す	と	引き受けると
話を聞く	て	行って
番附を染め出す	へ	鶯茶へ
清聴を煩わす	て	披瀝して、
真似をやる	と	思います」と
発達を致す	て	比例して
復讐をやる	は	寒月君は
出入を禁ずる	が	差し支えないが
談話を承る	て	行って
侮辱を受ける	は	教師たる以上は
喧嘩をする	から	ものですから
大発見をなす	に	辺に
試験をする	に	国に
平均を破る	の	鈴木君の
平均を破る	の	鈴木君の
質問をかける	は	主人は
解釈を聞く	は	　主人は
問答をやる	で	禅家で
写生帖を引き裂く	で	手で
著述をする	と	美学原論と
西洋料理を奢る	でも	何でも
依頼をうける	で	極楽主義で
心理作用を有する	の	普通の
観察を積む	が	人間自身が
変化を示す	て	あってか
議論をする	て	あって
熟睡しているのを見る	て	うかがっていたが、
休養を要する	は	吾輩はまた
問答をする	を	要領を
約束を覚える	は	子は
真似をする	で	上野公園で
修行をする	と	安閑と
代理を勤める	に	通しに
算段をする	は	彼等は
区劃を立てる	へ	上へ
真似をやる	と	声と、
挨拶をする	か	客だか
研究を要する	の	労力の
挨拶をする	も	迷亭も
註釈をつける	の	例のごとく
談話を分る	まで	今まで
工夫をする	から	吹くから、
返事を待つ	て	平らげて、
交換をやる	たり	したり、
話をする	は	「君は
話をする	か	するのか、
観察を述べる	で	声で、
托販売をやる	か	よしか、なんて
挙止動作を寝る	の	一騎当千の
挨拶をする	の	自分の
返事をする	の	気の
行水を見下ろす	て	とまって
御批評を願う	で	読んで
演説をする	で	英国で
芝居をする	で	独逸で
往生をあがる	から	それだから
薨去を、落ちる	て	云って、
広告を出す	ば と	飛込めば 四百四病即席全快と
抵抗力を生ずる	に対して	狂瀾怒濤に対して
運動をやる	と	蝉取りと
御馳走をする	にて	常磐にて
運動を称す	は	吾輩は
猶予を与える	に	彼等に
芸当兼運動をやる	に	綱渡りにも
影響を与える	に	男に
由来を案ずる	て	退いて
あいだ我慢をする	に	中に
喧嘩を始める	も	大人気も
挨拶をする	で	先方で
不便邪魔をする	が	軍隊が
観察を怠る	の	流しの
北面を取り囲む	て	屈曲して、
喧嘩を見る	と	駱駝と
真似をする	に	最後に
談判をもつ	の	かくのごとく
講義をする	で	一室で、
放歌するのを聴く	て の	勉強している 隣室の
訓戒を与える	に	かように
講義をきく	から	うちから
挨拶をする	の	例のごとく
後悔をする	と	思うと
談話を聞く	は	吾輩は
挨拶をする	て	逢って
病気だのを直す	を の だの	催眠術を 手癖の わるいんだの、
工夫をする	と	困らないと
訓戒を垂れる	に	授業以外に
喧嘩を思う	によって	意見によって
了見を起す	て	寝て
心配を掛ける	に	母親に
御協賛を仰ぐ	て	表し度就ては
校舎新築費を得る	に	理想に
仁参を食う	と	士であろうと、
註釈をつける	から	すまんから
修養を力む	から	「せんだってから
講釈を聞く	から	人から
返事をする	に	苦しまぎれに
実験室を見せる	て	寄って、
議論をする	と	修養と
主宰をもつ	て	して
掃除を始める	によって	例によって
連想をかたちづくる	で	習慣で、
催促をしてやる	て	思い切って
襲撃を蒙る	なぞ	時なぞは
掃除をする	へ	ところへ
教育を受ける	に	ものには
虚構をもつ	は	彼等は
通り掃除をはじめる	で	畳んで、
寄寓していたのを取払う	に の	第一に 鼻の
相談を持ちかける	に	姉さんに
ストライキをしでかす	て	なって、
判断をする	は	主人は
いたずらを書く	も	吾輩も
質問をかける	に	猫に
挨拶をする	さ	「そうさね」と
質問をする	から	大き過ぎますから
いたずらをする	じゃ	それどころじゃない、
いたずらを始める	て	引きずり出して、
行動をとる	は	うちは
話を聞く	は	僕は
質問をかける	が	東風君が
説教をする	に	東風君に
稽古をはじめる	も	僕も
処分を受ける	て	まかり間違って
注意をする	に	目に
仲間入りをする	て	なって、また
質問をかける	は	東風君は
真似をする	を	胸を
懐中を抜く	に	際に
議論を始める	で	口調で、
話を聞く	は	「僕は
乱暴をかく	て	なって
修行をする	から	昔しから
返事をする	で	遠くで
返事をする	と	いいだろう」と
